source,id,title,year,dataset_role,open_data,language_annotation,language_evidence,modalities,data_supervision,task_families,concept_types,environments,dataset_evidence,open_evidence,warnings,summary_link,paper_link,project_link
Supplement,tartanair,TartanAir,2020,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,demonstrations / trajectories; simulation labels,simulation / sim2real,object state,simulation; offline perception,"TartanAir is a large-scale synthetic dataset for visual SLAM and robot navigation, released by CMU's AirLab (Robotics Institute) and presented at IROS 2020. Data is collected in 30 photo-realistic Unreal Engine environments via the AirSim plugin, spanning urban, rural, nature, domestic, public and sci-fi scenes, with challenging conditions including day-night/lighting changes, weather (rain, snow, fog, wind), seasonal variation, moving/dynamic objects, and aggressive diverse ego-motion. It comprises 1037 long motion sequences (each 500-4000 frames) totaling over one million frames, organized hierarchically by Environment -> Difficulty (Easy/Hard) -> Trajectory (P000, P001, ...) -> modality subfolders. Each frame provides multi-modal sensor data and precise ground truth: stereo RGB (left/right, ~640x480), depth maps, semantic segmentation, optical flow (with occlusion masks), 6-DoF camera poses, simulated multi-line LiDAR point clouds, and simulated IMU. Modalities are stored in open formats: RGB as PNG, depth/segmentation/optical flow as NumPy .npy arrays, and poses as .txt files. The full dataset is up to ~3TB and is distributed via the Microsoft Azure Open Datasets platform, an AirLab Ceph/S3 endpoint, and Hugging Face, with download scripts (download_training.py using boto3) and tooling provided at github.com/castacks/tartanair_tools. It served as the official dataset of the CVPR 2020 Visual SLAM Challenge (monocular and stereo tracks). The dataset is released under CC-BY-4.0; the accompanying tartanair_tools software is separately BSD-3-Clause licensed.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://github.com/castacks/tartanair_tools.,,../source_materials/datasets_bot_raw/knowledge/paper/tartanair.html,https://arxiv.org/abs/2003.14338,https://theairlab.org/tartanair-dataset/
Supplement,tartanair-v2,TartanAir V2,2024,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,class labels; temporal / event labels; demonstrations / trajectories; simulation labels,simulation / sim2real,object state,real robot; simulation; offline perception,"TartanAir V2 is a large-scale photorealistic synthetic dataset built on Unreal Engine 4 with the AirSim plugin, developed by CMU's AirLab (castacks) to push the limits of visual SLAM, navigation, and robotics perception. It contains 65 highly distinct simulated environments covering urban, rural, domestic, infrastructure, thematic, and nature scenarios, both indoor and outdoor, with some environments split into sub-environments for weather/time-of-day variation. Data is collected from pre-recorded, challenging and realistic trajectories of a generic free-flying 6-DoF camera that mimic real-world robot motion (trajectories are sampled in free space, connected via RRT*, refined for loop closures, and smoothed for physically plausible motion). In each environment 12 perfectly synchronized cameras (two stereo sets of six cameras pointing in six directions to cover a 360-degree view) capture raw pinhole RGB at 640x640, 90-degree FoV, 10 Hz, with a 0.25 m stereo baseline. Raw data is processed into a rich set of modalities: stereo RGB images (plus 1000 Hz MP4 video of the left-front camera), float32 depth maps (compressed losslessly to 4-channel 8-bit PNG), category-level semantic segmentation spanning 1447 semantic classes (manually labeled, with per-environment seg_label_map.json and statistics), optical flow (CUDA-accelerated, generatable across any camera-model pair, stored as npz with covisibility/FoV masks), LiDAR point clouds sampled from depth following Velodyne VLP-16 (and VLP-32C) patterns, IMU with configurable noise modeling, event-camera data generated at 1000 Hz via the ESIM simulator with contrast thresholds 0.2-1.0, occupancy maps, and ground-truth camera poses. The accompanying tartanairpy toolkit supports sampling customizable camera models including pinhole, fisheye (doublesphere / Linear Spherical model), and equirectangular/panoramic views, plus tools for adding noise and motion blur. The dataset is downloaded and managed through the 'tartanair' Python package (pip install tartanair), with data hosted on the AirLab server and Hugging Face (theairlabcmu/tartanair, ~1.11 TB). It succeeds TartanAir V1 (IROS 2020, the official CVPR 2020 Visual SLAM Challenge dataset), adding more scenes, more modalities, and the new fisheye/panoramic camera support; it also underpins the related TartanGround ground-robot dataset.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://www.tartanair.org/.,,../source_materials/datasets_bot_raw/knowledge/paper/tartanair-v2.html,https://arxiv.org/abs/2003.14338,https://www.tartanair.org/
Supplement,tartanaviation,TartanAviation,2024,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; audio; language; point cloud / 3D,demonstrations / trajectories,policy learning / VLA,object state,offline perception,"TartanAviation is an open-source multimodal dataset focused on terminal-area airspace operations at general-aviation airports, providing a holistic view of the airport environment by concurrently collecting image, speech, and ADS-B trajectory data using sensor setups installed within airport boundaries. It contains 3.1 million images across 550 sequences (captured with a 4-camera array of Sony IMX264 RGB sensors at 2048x2448 resolution and 24 FPS, stored as MP4/AVI), 3,374 hours of Air Traffic Control (ATC) speech audio (WAV, 44.1 kHz; 477.6 hours above a -20 dB activity threshold), and 661 days of ADS-B aircraft trajectory data (CSV/TXT; ~63 million raw position reports with fields such as ID, timestamp, altitude MSL, speed, heading, lat/long, wind components, range, and bearing). Data were collected at two airfields in the Greater Pittsburgh area: Allegheny County Airport (KAGC, towered) and Pittsburgh-Butler Regional Airport (KBTP, non-towered), spanning multiple months and seasons (vision Dec 2021-Feb 2023 at KAGC; trajectory/speech data Sept 2020-Feb 2023 across both airports) to capture diversity in aircraft operations, aircraft types, and weather. Post-processed (synchronized, filtered, interpolated) versions are also provided. Cameras are static ground-based installations imaging crewed general-aviation aircraft against the sky (no drones/UAVs are involved); no depth, stereo, or fisheye sensing is used. Recording/post-processing/download scripts are released on GitHub, and the dataset is openly hosted on Hugging Face, CMU AirLab servers, and Zenodo.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://github.com/castacks/TartanAviation.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/tartanaviation.html,https://arxiv.org/abs/2403.03372,https://theairlab.org/tartanaviation/
Supplement,tartandrive,TartanDrive,2022,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,none apparent,none apparent,object state; affordance / action effect,real robot; offline perception,"TartanDrive is a large-scale real-world off-road driving dataset from CMU's AirLab, built for learning off-road vehicle dynamics models. It contains roughly 200,000 off-road driving interactions (about five hours of data) collected on a modified Yamaha Viking ATV driven across diverse terrain. The authors describe it as the largest real-world multimodal off-road driving dataset both in number of interactions and in number of sensing modalities. It provides seven unique sensing modalities: stereo RGB camera imagery (1024x512 @ 20Hz from a MultiSense S21), bird's-eye-view RGB maps (501x501 @ 20Hz) and heightmaps (501x501 @ 20Hz) derived from the stereo RGB-D mapping pipeline (not LiDAR), IMU (6D @ 200Hz), GPS-derived odometry/state (7D @ 50Hz), and vehicle proprioception including wheel RPM (4D @ 50Hz), shock/suspension position (4D @ 50Hz), and pedal/throttle commands (2D action @ 100Hz). Data are distributed as compressed rosbags (~100GB per compressed folder) that can be converted to PyTorch tensors or NumPy arrays via the provided scripts at github.com/castacks/tartan_drive. The dataset was introduced at ICRA 2022 and benchmarks state-of-the-art model-based RL methods for off-road dynamics prediction, showing that multi-modality improves prediction especially on challenging terrain. A follow-up, TartanDrive 2.0, adds LiDAR (two Velodyne VLP-32 and a Livox Mid-70) and seven hours of data.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://github.com/castacks/tartan_drive.,dataset-relevant row has no task-family tag; dataset-relevant row has no data-supervision tag,../source_materials/datasets_bot_raw/knowledge/paper/tartandrive.html,https://arxiv.org/abs/2205.01791,https://theairlab.org/tartandrive-dataset/
Supplement,tartandrive-2,TartanDrive 2.0,2024,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,property labels; temporal / event labels; self-supervised pairs,material recognition,static property; object state,offline perception,"TartanDrive 2.0 is an expanded large-scale off-road driving dataset from CMU's AirLab, collected on a Yamaha Viking All-Terrain Vehicle (ATV named 'Vicky') over 255+ acres of diverse terrain in Western Pennsylvania (narrow paths, dense foliage, rocky areas, dirt paths, steep hills). It comprises roughly 7 hours of data at speeds up to 15 m/s. Building on TartanDrive 1.0, version 2.0 adds three LiDAR sensors: two Velodyne VLP-32 units (front-roof mounted, one tilted downward) and one Livox Mid-70 (under the camera), all at 10 Hz. The camera system is a Carnegie Robotics MultiSense S21 providing stereo greyscale images plus a left RGB image at 10 Hz. Inertial/positioning comes from a NovAtel PROPAK-V3-RT2i GNSS (IMU at 100 Hz, GPS-fused pose at 50 Hz) and the MultiSense IMU at 400 Hz. Proprioceptive data (Racepak G2X Pro logger plus joystick/pedals) includes per-wheel RPM, rear suspension shock travel, steering commands and angle, and accelerator/brake pedal positions. Post-processed products include TartanVO and Super Odometry estimates, registered point clouds, predicted point clouds, heightmaps, RGB bird's-eye-view maps, IMU-derived roughness cost, and 200x200m BEV LiDAR feature maps at 0.5m resolution (min/max/mean height, roughness, SVD features, ground height/slope). Rich per-sequence metadata (driver ID, vehicle, passenger count, date/time, weather, lighting, course ID, top/average speed, duration) plus timestamped event annotations and 1-5 driving-quality scores are included. Data is distributed both as original rosbags and in a KITTI-like time-synced sequence format, with scripts to regenerate data at custom sample frequency, map size and resolution. A GUI tool (scripts/tartandrive_gui.py) lets users browse runs and select which modalities to download to save storage; a point-cloud scan of the ATV is downloadable separately. Released alongside the ICRA 2024 paper (arXiv:2402.01913).",datasets.bot lists this as a public dataset with license MIT and download URL https://github.com/castacks/tartan_drive_2.0.,,../source_materials/datasets_bot_raw/knowledge/paper/tartandrive-2.html,https://arxiv.org/abs/2402.01913,https://theairlab.org/TartanDrive2/
Professor Survey,taxim_gelsight_simulation,Taxim: An Example-based Simulation Model for GelSight Tactile Sensors,2021,introduces simulator,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; point cloud / 3D,simulation labels,simulation / sim2real,none apparent,simulation,"Self-collected. Optical calibration: 50 points, 4 mm spherical indenter; shadow: 10 points, 1 mm pin indenter. Evaluation objects designed in SolidWorks and 3D-printed (10x10 or 15x15 mm bases); also Google Scanned Objects for qualitative tests. 4 different GelSight sensors + one DIGIT sensor.",,introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/taxim_gelsight_simulation.html,https://arxiv.org/abs/2109.04027,
Professor Survey,teaching_physical_awareness_to_llms_through_sounds,Teaching Physical Awareness to LLMs through Sounds,2025,uses existing datasets,partial or indirect,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",audio; language,simulation labels,simulation / sim2real; representation learning,none apparent,real robot; simulation; offline perception,"AQA-PHY (self-built, 1M tuples) across five tasks - LOS Detection, Doppler Estimation, DoA Estimation, Multipath Analysis, Range Estimation. Sound sources from AudioSet. Real-world eval: NIO ES6 vehicle cabin, LOS detection + DoA, zero-shot (trained on simulated only).",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/teaching_physical_awareness_to_llms_through_sounds.html,https://arxiv.org/abs/2506.08524,
Professor Survey,text2touch_tactile_in_hand_llm_reward,Text2Touch: Tactile In-Hand Manipulation with LLM-Designed Reward Functions,2025,self-collected eval data,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; tactile; force; proprioception; language,simulation labels,policy learning / VLA; simulation / sim2real,none apparent,real robot; simulation; offline perception,"No external dataset - RL in simulation. Task = gravity-invariant multi-axis in-hand rotation following AnyRotate [12]. Real-world eval over ten household objects, 3 rotation axes (X/Y/Z) x palm-up/palm-down. OOD eval on heavier masses and novel shapes (Fig 4 top, Table 3).","The reward is ""tactile"" only in that tactile variables are available in the 70-var context; the paper doesn't quantify how much the LLM-chosen reward terms actually depend on tactile vs proprioceptive variables.","language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/text2touch_tactile_in_hand_llm_reward.html,https://arxiv.org/abs/2509.07445,
Professor Survey,that_sounds_right_auditory_self_supervision,That Sounds Right: Auditory Self-Supervision for Dynamic Robot Manipulation,2022,introduces dataset,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio; proprioception,demonstrations / trajectories; self-supervised pairs,contact-rich manipulation; policy learning / VLA; representation learning,none apparent,offline perception,"Self-collected audio-behavior dataset, 25,000 datapoints across five dynamic tasks — rattling a rattle, shaking a tambourine, swatting a fly swatter, striking a horizontal surface, striking a vertical surface. 1,000 unique behaviors × 5 repeats = 5,000 per task; per-task split 4,000 train / 1,000 test. Action parameters sampled uniformly from a parameterized primitive space; tasks are self-resetting for minimal supervision. RGB video also recorded (third-person) for the vision baseline.",,,../source_materials/professor_survey_raw/knowledge/paper/that_sounds_right_auditory_self_supervision.html,https://arxiv.org/abs/2210.01116,
Professor Survey,objectfolder_benchmark_neural_real,The ObjectFolder Benchmark: Multisensory Learning with Neural and Real Objects,2023,introduces benchmark,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; point cloud / 3D,class labels; property labels; self-supervised pairs; simulation labels,material recognition; simulation / sim2real,static property; object state,real robot; simulation; offline perception,"ObjectFolder Real (100 real household objects: meshes at 16K/64K/Full triangles, lightbox HD video, 30-50 impact-sound points/object, GelSight readings at matching points) + the 1,000 neural objects from ObjectFolder 2.0 . Per-task object/instance splits vary (e.g., retrieval splits neural objects 800/100/100 and OF-Real 8/1/1 per object; contact localization 800/190/10 neural, 53 real objects 8:1:1).",,,../source_materials/professor_survey_raw/knowledge/paper/objectfolder_benchmark_neural_real.html,https://arxiv.org/abs/2306.00956,
Professor Survey,the_sound_of_pixels,The Sound of Pixels,2018,sensor / foundation paper,not applicable,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio,class labels; self-supervised pairs,representation learning,state transition,web / video; offline perception,"MUSIC (Multimodal Sources of Instrument Combinations), newly collected: 685 untrimmed YouTube solo/duet videos (536 solos, 149 duets), 11 instrument categories (accordion, acoustic guitar, cello, clarinet, erhu, flute, saxophone, trumpet, tuba, violin, xylophone), ~2 min avg. Split: 500 train (solos+duets), 130 val (solos only), 84 test (duets only). Silent background images drawn from ADE20K to regularize localization.",,,../source_materials/professor_survey_raw/knowledge/paper/the_sound_of_pixels.html,https://arxiv.org/abs/1804.03160,
Professor Survey,sound_of_simulation_generative_audio_sim2real,The Sound of Simulation: Learning Multimodal Sim-to-Real Robot Policies with Generative Audio,2025,uses existing datasets,partial or indirect,task instructions / commands,"task instructions / commands: Table 1), each scored over 12 evaluations (4 language commands x 3 random locations).",vision; audio; language,demonstrations / trajectories; simulation labels,grasping / lifting; policy learning / VLA; simulation / sim2real,none apparent,real robot; human collection; simulation; web / video; offline perception,"Finetuning audio dataset = 1031 in-the-wild pouring videos (EPIC-Kitchens + YouTube crawl). Policy eval benchmark = 8 real pouring conditions (4 opaque, 4 transparent containers; Table 1), each scored over 12 evaluations (4 language commands x 3 random locations). Ablation uses 10 real demos for an augmentation baseline and 100 sim trajectories for audio-quality analysis.",,,../source_materials/professor_survey_raw/knowledge/paper/sound_of_simulation_generative_audio_sim2real.html,https://arxiv.org/abs/2507.02864,https://multigen-audio.github.io
Professor Survey,the_sound_of_water_physical_properties_pouring,The Sound of Water: Inferring Physical Properties from Pouring Liquids,2025,introduces dataset,unknown,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; audio; thermal,class labels; property labels; self-supervised pairs; simulation labels,pouring / liquids; simulation / sim2real,static property; object state,simulation; offline perception,"New Sound of Water 50 dataset - 805 videos of a hand pouring liquid across 50 containers (4 shapes: cylindrical, semi-conical, bottleneck, hemispherical; 5 materials: glass, plastic, ceramic, steel, cardboard; 2 liquids: hot/normal water), smartphone-recorded, fixed camera, ~constant-but-randomized flow rate per video, durations 3.5-30.1s (mean 10.44s). Four splits (Table 1): Train (18 transparent cylinder-like containers, 195 videos), Test I (seen containers, distinct videos), Test II (unseen cylinder-like), Test III (434 videos, unseen, for shape classification). Also evaluated on the Wilson et al. weight dataset (136 sequences, 6 containers).",,introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/the_sound_of_water_physical_properties_pouring.html,https://arxiv.org/abs/2411.11222,
Supplement,tla_tactile_language_action_contact_rich,TLA: Tactile-Language-Action Model for Contact-Rich Manipulation,2025,introduces dataset,open / public,task instructions / commands,task instructions / commands: This is a direct fit for language-conditioned tactile manipulation.,vision; tactile; language,self-supervised pairs,insertion / assembly; contact-rich manipulation,object state; correction signal,offline perception,Introduces a tactile action instruction dataset with 24k pairs customized for fingertip peg-in-hole assembly. The arXiv abstract says the authors publicly release all data and code. This is a direct fit for language-conditioned tactile manipulation.,"TLA: Tactile-Language-Action Model for Contact-Rich Manipulation tactile-language tactile-sensing language-conditioned-manipulation contact-rich dataset peg-in-hole open-data vision-language-action A tactile-language-action model for contact-rich peg-in-hole manipulation, paired with a 24k tactile action instruction dataset that is explicitly released with data and code.",,../source_materials/dongyu_survey_raw/knowledge/paper/tla_tactile_language_action_contact_rich.html,https://arxiv.org/abs/2503.08548,https://sites.google.com/view/tactile-language-action/
Professor Survey,touch_and_go_human_collected_vision_touch,Touch and Go: Learning from Human-Collected Vision and Touch,2022,introduces dataset,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile,class labels; property labels; self-supervised pairs,material recognition; representation learning,static property,real robot; human collection; web / video; offline perception,"The Touch and Go dataset itself - ~13.9k detected touches, ~3971 object instances, ~246k visuo-tactile frame pairs, 20 material categories, balanced indoor (52.2%) / outdoor (47.8%). For self-supervised material probing: unlabeled 5172 touches (51.7%), labeled train 3921 (39.2%), labeled test 923 (9.1%), split by video to avoid leakage. Cross-dataset grasping uses the Feeling-of-Success / Calandra et al. [9] dataset (68 objects / 5921 touches train, 16/1204 val, 21/1204 test).",,,../source_materials/professor_survey_raw/knowledge/paper/touch_and_go_human_collected_vision_touch.html,https://arxiv.org/abs/2211.12498,
Professor Survey,touch100k_touch_language_vision_dataset,Touch100k: A Large-Scale Touch-Language-Vision Dataset for Touch-Centric Multimodal Representation,2024,introduces dataset,unknown,captions / descriptions; property words,"captions / descriptions: Touch100k is the first ~100k-scale paired touch-language-vision dataset where GelSight tactile observations are annotated with GPT-4V-generated multi-granularity language (full sentences plus key-feature phrases), and the companion method TLV-Link uses curriculum learning to ""grow"" a tactile encoder out of a frozen ... | property words: Touch100k is the first ~100k-scale paired touch-language-vision dataset where GelSight tactile observations are annotated with GPT-4V-generated multi-granularity language (full sentences plus key-feature phrases), and the companion method TLV-Link uses curriculum learning to ""grow"" a tactile encoder out of a frozen ...",vision; tactile; language,class labels; property labels; temporal / event labels; self-supervised pairs,grasping / lifting; material recognition; representation learning,static property; object state; state transition,real robot; offline perception,"Pretraining on Touch100k (100,147 entries, sourced from TAG + VisGel). Downstream: material property identification on the three TAG test sets - material classification (20 labels, multi-class), hard/soft (binary), rough/smooth (binary); robot grasping prediction on the Feel (""The Feeling of Success"") dataset, predicting grasp success from before/after tactile observations of left/right sensors, split by objects 8:1:1.",,introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/touch100k_touch_language_vision_dataset.html,https://arxiv.org/abs/2406.03813,
Professor Survey,tlv_touch_language_vision_dataset,Towards Comprehensive Multimodal Perception: Introducing the Touch-Language-Vision Dataset,2024,introduces dataset,unknown,captions / descriptions,"captions / descriptions: TLV is the first touch-language-vision dataset with sentence-level (not just lexical-label) tactile descriptions - ~20K GelSight-touch / RGB-vision pairs auto-captioned by GPT-4V via a human-machine cascade - paired with STLV-Align, a LoRA recipe that aligns touch, language, and vision in one embedding space by tuni...",vision; tactile; language,class labels; property labels; temporal / event labels; self-supervised pairs,cooking / food state; material recognition; representation learning,static property; state transition,real robot; offline perception,"TLV itself - 19,834 annotated entries (9,834 touched pairs after filtering + 10,000 untouched pairs), all sourced from VisGel [26]. Downstream zero-shot evaluation on the Touch and Go [36] dataset across three tactile-classification tasks: material, hard/soft, rough/smooth (cross-domain - TLV is train, Touch and Go is test).","Treating touch and vision as ""two views of the same semantics"" is what licenses captioning the tactile signal from the visual image.",introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/tlv_touch_language_vision_dataset.html,https://arxiv.org/abs/2403.09813,https://xiaoen0.github.io/touch.page/
Professor Survey,forceful_robotic_foundation_models_survey,Towards Forceful Robotic Foundation Models: a Literature Survey,2025,survey / review,not applicable,none apparent,none apparent: Survey/review paper; no paper-specific dataset language annotations are reported.,vision; tactile; audio; force; proprioception; language,demonstrations / trajectories; simulation labels,insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real,object state,real robot; simulation,"25 reviewed papers, 64 tasks (53 unique). No consistent benchmark across papers - ""peg-in-hole"" is the only task with as many as five papers providing benchmarks. Tasks span door open/close, peg/plug/USB/key insertion, pouring, wiping/erasing, nut threading, grasping (fragile/delicate/deformable), zucchini peeling, dough rolling, chip/card swiping, book tipping, etc. A full per-paper/per-task reference table is hosted in an external online spreadsheet.",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/forceful_robotic_foundation_models_survey.html,https://arxiv.org/abs/2504.11827,
Professor Survey,hear_vision_sound_language_action_sound_centric_manipulation,Towards the Vision-Sound-Language-Action Paradigm: The HEAR Framework for Sound-Centric Manipulation,2026,uses existing datasets,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; audio; thermal; language,temporal / event labels; demonstrations / trajectories; simulation labels,pouring / liquids; cooking / food state; policy learning / VLA; simulation / sim2real,object state; state transition; event; correction signal,real robot; simulation,"OpenX-Sound - ~120k Open X-Embodiment episodes retrospectively augmented with time-aligned synthesized audio tracks (16 kHz) via video-to-audio generation models; manual audit reported 98.7% synchronization within 100 ms tolerance. HEAR-Bench - the first sound-centric manipulation benchmark, built on a real-time audio-physics co-simulation engine over RoboTwin2; 7 tasks across 4 cue categories (event-triggered alarms: Alarm Clock, Microwave; human speech: Check Yes, Interrupt; continuous process: Pour Water, Boil Water; physical interaction feedback: Check Materials), 100 trials each, with strict timing-sensitive success rules.",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/hear_vision_sound_language_action_sound_centric_manipulation.html,https://arxiv.org/abs/2603.16086,
Supplement,trajair,TrajAir,2021,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",proprioception; language,temporal / event labels; demonstrations / trajectories,none apparent,object state; state transition,offline perception,"TrajAir is a general-aviation aircraft trajectory dataset collected by CMU's AirLab (Robotics Institute) around the non-towered Pittsburgh-Butler Regional Airport (ICAO: KBTP), a single-runway GA airport ~10 miles north of Pittsburgh, PA. Data was recorded with an on-site ADS-B receiver (1090 MHz / 978 MHz, plus TIS-B for non-equipped aircraft) over 8 months (18 Sept 2020 - 23 Apr 2021), yielding 111 valid days after excluding downtime, repairs, and no-traffic bad-weather days. Each scene contains aircraft trajectories transformed into an airport-centered inertial frame with x,y,z positions (km), aircraft IDs, and frame timestamps interpolated to 1 Hz via cubic interpolation. Weather context (wind direction/velocity, given as wx, wy components in m/s) is added post-hoc from METAR data produced by the KBTP AWOS system. The data is distributed as delimited text files organized into a full 111_days/ folder, four weekly folders (7days1-4), raw CSVs by collection date, and a processed 70/30 train/test split. It was released with the baseline socially-aware prediction method TrajAirNet (ICRA 2022). This is real physical manned-aircraft data, not simulated.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://kilthub.cmu.edu/ndownloader/articles/14866251/versions/1.,"language modality/method signal, but no explicit dataset language annotation evidence; dataset-relevant row has no task-family tag",../source_materials/datasets_bot_raw/knowledge/paper/trajair.html,https://arxiv.org/abs/2109.15158,https://theairlab.org/trajair/
Professor Survey,t3_transferable_tactile_transformers,Transferable Tactile Transformers for Representation Learning Across Diverse Sensors and Tasks,2024,uses existing datasets,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; point cloud / 3D,class labels; self-supervised pairs,grasping / lifting; contact-rich manipulation; policy learning / VLA; representation learning,none apparent,real robot; offline perception,"FoTa (3,083,452 images, 13 sensors, 11 tasks; constituents in Table 2). Pre-training uses all FoTa except the gantry-collected object-classification and 3D pose-estimation data, which are held out for evaluation / fine-tuning. The §5.1 fine-tuning/eval task is a 6-category object classification on 2 sensors (GelSight Wedge, GelSight Mini), ~3,300 points each. §5.2 zero-shot transfer uses two novel sensors (GelSight Svelte, DenseTact 2.0) on two seen tasks (object classification, pose estimation).","Aggregates many of the largest open-sourced tactile datasets (VisGel, TVL, Touch-and-Go, Calandra'17, Yuan'18, YCB-Sight, ObjectFolder-real, Tippur'23) plus new in-house data, into a single unified, I/O-efficient WebDataset format: 3,083,452 tactile images, 13 sensors, 11 tasks (Table 2).",,../source_materials/professor_survey_raw/knowledge/paper/t3_transferable_tactile_transformers.html,https://arxiv.org/abs/2406.13640,
Professor Survey,unit_data_efficient_tactile_representation,UniT: Data Efficient Tactile Representation with Generalization to Unseen Objects,2025,self-collected eval data,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; point cloud / 3D,class labels; demonstrations / trajectories; self-supervised pairs; simulation labels,grasping / lifting; insertion / assembly; policy learning / VLA; representation learning,state transition,real robot; offline perception,"Self-collected GelSight-mini tactile datasets (Allen key 10,854 imgs; small ball 4,831 imgs) for representation training. Downstream: USB-plug 3D pose (quaternion) and 6D pose (position + quaternion) estimation, self-collected with OptiTrack ground truth (10,111 train / 1,229 test images, 9:1 episode split); YCB-Sight tactile classification (6 objects, 240 contact images, 8:2 split); three real Aloha manipulation tasks (Chicken Legs Hanging, Chips Grasping, Allen Key Insertion); a simulated peg-insertion task built on TacSL (30 demos via SpaceMouse).",,,../source_materials/professor_survey_raw/knowledge/paper/unit_data_efficient_tactile_representation.html,https://arxiv.org/abs/2408.06481,
Professor Survey,variable_impedance_control_learning_review,Variable Impedance Control and Learning -- A Review,2020,survey / review,not applicable,none apparent,none apparent: Survey/review paper; no paper-specific dataset language annotations are reported.,force; proprioception,property labels; demonstrations / trajectories,insertion / assembly; contact-rich manipulation; policy learning / VLA; simulation / sim2real,none apparent,offline perception,"not reported - a qualitative review, not an empirical benchmark; no standardized dataset. Cited evaluation tasks across surveyed works include peg-in-hole / assembly with sub-0.1mm tolerances, valve turning, pancake flipping, door opening, surface wiping, ankle/exoskeleton rehabilitation, and human-robot co-manipulation.",""" Safe RL on top of a manifold representation is, to their knowledge, an open topic with no available approach.",,../source_materials/professor_survey_raw/knowledge/paper/variable_impedance_control_learning_review.html,https://arxiv.org/abs/2010.06246,
Professor Survey,vibecheck_active_acoustic_tactile_sensing,VibeCheck: Using Active Acoustic Tactile Sensing for Contact-Rich Manipulation,2026,introduces benchmark,not open,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,tactile; audio,class labels; property labels; demonstrations / trajectories; simulation labels,grasping / lifting; insertion / assembly; contact-rich manipulation; material recognition; policy learning / VLA; simulation / sim2real,static property; object state; correction signal,real robot; simulation,"Self-collected. Object: 9 rods, 900 train / 225 test. Grasping position: 2700 train / 675 test. Pose regression: 1800 train / 450 test (18 poses). Contact type: 1000 train / 200 test per class. Test sets drawn from separate collection sessions to capture distribution shift; out-of-distribution tests on new surfaces and new orientations. No public benchmark.",No public benchmark.,,../source_materials/professor_survey_raw/knowledge/paper/vibecheck_active_acoustic_tactile_sensing.html,https://arxiv.org/abs/2504.15535,
